,Urun,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
184,Huawei P30 Lite (48 MP / 128 GB) (MAR-LX1A),6.15 İnç,128 GB,4 GB,48puan,3340 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"8.499,00"
185,Xiaomi Black Shark (64 GB / 6 GB),5.99 İnç,64 GB,6 GB,48puan,4000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
186,Apple iPhone 7 Plus (PRODUCT)RED Special Edition (128 GB) (MPQW2TU/A),5.5 İnç,128 GB,3 GB,48puan,2900 mAh,Tek Hat,Yok,12 MP,Var,60 Hz,iOS,Var,
187,Xiaomi Mi MIX 18K,6.4 İnç,256 GB,6 GB,48puan,4400 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
188,"Apple iPhone 7 Plus (128 GB) (MN4M2TU/A, MN4P2TU/A, MN4V2TU/A, MN4Q2TU/A, MN4U2TU/A)",5.5 İnç,128 GB,3 GB,48puan,2900 mAh,Tek Hat,Yok,12 MP,Var,60 Hz,iOS,Var,"5.799,00"
189,Xiaomi Redmi 9 (64 GB),6.53 İnç,64 GB,4 GB,48puan,5020 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"4.480,00"
190,Xiaomi Redmi Note 8 (32 GB),6.3 İnç,32 GB,3 GB,48puan,4000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,
191,HTC U Ultra (Çift Hat),5.7 İnç,64 GB,4 GB,48puan,3000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
192,HTC U Ultra (Tek Hat),5.7 İnç,64 GB,4 GB,48puan,3000 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
193,Redmi 10C (128 GB),6.71 İnç,128 GB,4 GB,48puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Yok,"4.895,09"
194,Oppo A55 (CPH2325),6.51 İnç,64 GB,4 GB,48puan,5000 mAh,Tek Hat,Var,50 MP,Var,60 Hz,Android,Var,"4.997,02"
195,Oppo A54 (CPH2239),6.51 İnç,128 GB,4 GB,48puan,5000 mAh,Tek Hat,Var,13 MP,Var,60 Hz,Android,Var,"5.449,00"
