,Ürün,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
161,Lenovo K5 (A6020a41),5.0 İnç,16 GB,2 GB,22puan,2750 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
162,Motorola Moto G (2015) (8 GB),5.0 İnç,8 GB,1 GB,22puan,2470 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
163,Samsung Galaxy A5 Duos (Çift Hat) (SM-A500H/DS),5.0 İnç,16 GB,2 GB,22puan,2300 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
164,LG K10 (1.5 GB / Tek Hat) (K420),5.3 İnç,16 GB,1.5 GB,22puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,"1.799,00"
165,HTC Desire 630,5.0 İnç,16 GB,2 GB,22puan,2200 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
166,CAT S50,4.7 İnç,8 GB,2 GB,22puan,2630 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
167,Samsung Galaxy A01 Core (SM-A013),5.3 İnç,16 GB,1 GB,22puan,3000 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,"3.950,00"
168,Asus ZenFone 2 Laser (5.5 İnç / 1.2 GHz / 2 GB) (ZE550KL),5.5 İnç,16 GB,2 GB,22puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
169,Samsung Galaxy J5 (Tek Hat / 4G) (SM-J500F),5.0 İnç,8 GB,1.5 GB,22puan,2600 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
170,Lenovo A7000 Plus,5.5 İnç,16 GB,2 GB,22puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
171,Microsoft Lumia 640 XL LTE (4G),5.7 İnç,8 GB,1 GB,22puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Windows Phone,Var,
172,HTC Desire 728G dual SIM (Çift Hat),5.5 İnç,16 GB,1.5 GB,22puan,2800 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
173,ZTE Blade V7,5.2 İnç,16 GB,2 GB,22puan,2500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
174,Prestigio MultiPhone 7557 Grace (PSP7557),5.0 İnç,16 GB,2 GB,22puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
175,General Mobile Discovery 2 Plus,5.0 İnç,16 GB,2 GB,22puan,2500 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
176,Samsung Galaxy J5 (Çift Hat / 4G) (SM-J500F/DS),5.0 İnç,8 GB,1.5 GB,22puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
177,Lenovo Phab,6.98 İnç,16 GB,1 GB,22puan,4250 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
178,Ulefone Metal,5.0 İnç,16 GB,3 GB,22puan,3050 mAh,Çift Hat,Yok,8 MP,Var,60 Hz,Android,Yok,
179,Huawei Y6 Pro,5.0 İnç,16 GB,2 GB,22puan,4000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
180,HTC Desire 628,5.0 İnç,16 GB,2 GB,22puan,2200 mAh,Tek Hat,Var,13 MP,Yok,60 Hz,Android,Yok,
181,Samsung Galaxy S3 (16 GB) (GT-I9300),4.8 İnç,16 GB,1 GB,22puan,2100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
182,TP-Link Neffos X1 Lite (TP904A),5.0 İnç,16 GB,2 GB,22puan,2550 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
183,HTC One mini 2,4.5 İnç,16 GB,1 GB,22puan,2100 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
184,Microsoft Lumia 640 XL,5.7 İnç,8 GB,1 GB,22puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Windows Phone,Var,
185,Meizu m2,5.0 İnç,16 GB,2 GB,22puan,2500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
186,Apple iPhone 5s (32 GB),4.0 İnç,32 GB,1 GB,21puan,1560 mAh,Tek Hat,Yok,8 MP,Var,60 Hz,iOS,Yok,
187,Nokia Lumia 730 Dual SIM (RM-1040),4.7 İnç,8 GB,1 GB,21puan,2220 mAh,Çift Hat,Yok,6.7 MP,Yok,60 Hz,Windows Phone,Var,
188,Escort Joye E8,5.0 İnç,16 GB,2 GB,21puan,2200 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
189,General Mobile GM 5 (Çift Hat),5.0 İnç,16 GB,2 GB,21puan,2500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
190,General Mobile GM 5 (Tek Hat),5.0 İnç,16 GB,2 GB,21puan,2500 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
191,Asus Zenfone Live (ZB501KL),5.0 İnç,16 GB,2 GB,21puan,2650 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
192,ZTE Blade X9,5.5 İnç,16 GB,2 GB,21puan,3000 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
193,Alcatel OneTouch Idol 3 (8 GB / 4.7 İnç),4.7 İnç,8 GB,2 GB,21puan,2000 mAh,,Yok,13 MP,Yok,60 Hz,Android,Var,
194,TP-Link Neffos X1 (16 GB) (TP902A),5.0 İnç,16 GB,2 GB,21puan,2250 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
195,Motorola Moto E4 (XT1762),5.0 İnç,16 GB,2 GB,21puan,2800 mAh,Çift Hat,Yok,8 MP,Var,60 Hz,Android,Yok,
196,Asus Zenfone Go (5.5) (ZB552KL),5.5 İnç,16 GB,2 GB,21puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
197,Alcatel A5 LED (5085Y),5.2 İnç,16 GB,2 GB,21puan,2800 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,,
198,HTC Desire 816,5.5 İnç,8 GB,1.5 GB,21puan,2600 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
199,Asus ZenFone 6 (A600CG) (2.0 GHz) (A600CG),6.0 İnç,16 GB,2 GB,21puan,3300 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
200,Asus ZenFone 6 (A601CG) (1.6 GHz) (A601CG),6.0 İnç,16 GB,2 GB,21puan,3300 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
201,Samsung Galaxy Grand Prime Pro (SM-J250F),5.0 İnç,16 GB,1.5 GB,21puan,2600 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
202,CAT S40,4.7 İnç,16 GB,1 GB,21puan,3000 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
203,Samsung Galaxy S4 Zoom (SM-C101),4.3 İnç,8 GB,1.5 GB,21puan,2330 mAh,,Yok,16 MP,Yok,60 Hz,Android,Var,
204,Fluo X,5.0 İnç,16 GB,2 GB,21puan,2100 mAh,Çift Hat,Yok,16 MP,Yok,60 Hz,Android,Yok,
205,Samsung Galaxy Grand Prime Pro (Çift Hat) (SM-J250F/DS),5.0 İnç,16 GB,1.5 GB,21puan,2600 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
206,Huawei P9 Lite Mini,5.0 İnç,16 GB,2 GB,21puan,3020 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
207,Xiaomi Redmi Go (16 GB),5.0 İnç,16 GB,1 GB,21puan,3000 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
208,Lenovo Moto G4 Play,5.0 İnç,16 GB,2 GB,21puan,2800 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
209,Quatro F1453 Plus,5.0 İnç,16 GB,2 GB,21puan,2100 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
210,Sony Xperia M2 Aqua (D2403),4.8 İnç,8 GB,1 GB,21puan,2330 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
211,Samsung Galaxy E5 (Tek Hat) (SM-E500H),5.0 İnç,16 GB,1.5 GB,21puan,2400 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,,
212,LG X screen (K500),4.93 İnç,16 GB,2 GB,21puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
213,General Mobile 4G Android One Dual (Çift Hat),5.0 İnç,16 GB,2 GB,21puan,2500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
214,General Mobile 4G Android One (Tek Hat),5.0 İnç,16 GB,2 GB,21puan,2500 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
215,ZTE Blade A1,5.0 İnç,16 GB,2 GB,21puan,2800 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
216,General Mobile Discovery 2 (Çift Hat),5.0 İnç,16 GB,2 GB,21puan,2500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
217,Samsung Galaxy E5 Duos (Çift Hat) (SM-E500H),5.0 İnç,16 GB,1.5 GB,21puan,2400 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,,
218,Piranha IQ+ Plus,5.5 İnç,16 GB,2 GB,21puan,2800 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
219,Apple iPhone 5 (64 GB) (A1428),4.0 İnç,64 GB,1 GB,21puan,1440 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,iOS,Yok,
220,LG K8 (2017) (Çift Hat) (X240K),5.0 İnç,16 GB,1.5 GB,21puan,2500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
221,LG Nexus 4 (E960),4.7 İnç,16 GB,2 GB,21puan,2100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
222,LG K8 (2017) (Tek Hat) (X240Y),5.0 İnç,16 GB,1.5 GB,21puan,2500 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,,
223,Samsung Galaxy Mega 6.3 (GT-I9200),6.3 İnç,8 GB,1.5 GB,21puan,3200 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
224,Asus ZenFone 2 Laser (5.0 İnç / 1.2 GHz / 2 GB) (ZE500KL),5.0 İnç,16 GB,2 GB,21puan,2400 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
225,Huawei GR3,5.0 İnç,16 GB,2 GB,21puan,2200 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
226,Asus Zenfone Go (4G) (ZB500KL),5.0 İnç,16 GB,2 GB,21puan,2600 mAh,,Yok,13 MP,Yok,60 Hz,Android,Yok,
227,LG Zero (H650E),5.0 İnç,16 GB,1.5 GB,21puan,2050 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,,
228,ZTE Blade V6,5.0 İnç,16 GB,2 GB,21puan,2200 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
229,Excon ERA K4.5G,5.0 İnç,16 GB,2 GB,21puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
230,HTC One X+ (S728E),4.7 İnç,32 GB,1 GB,21puan,2100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
231,Samsung Galaxy A3 (4G / Tek Hat) (SM-A300F),4.5 İnç,16 GB,1.5 GB,21puan,1900 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
232,ZTE Blade V7 Lite,5.0 İnç,16 GB,2 GB,20puan,2500 mAh,,Yok,13 MP,Var,60 Hz,Android,Yok,
233,Kaan A1,5.0 İnç,16 GB,2 GB,20puan,2300 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
234,HTC Desire 626,5.0 İnç,16 GB,2 GB,20puan,2000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
235,Turkcell T60,5.0 İnç,16 GB,2 GB,20puan,2400 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
236,Samsung Galaxy J3 (2016) (Tek Hat / 4G) (SM-J320F),5.0 İnç,8 GB,1.5 GB,20puan,2600 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
237,EvoBT RS6,5.0 İnç,16 GB,1 GB,20puan,2100 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
238,Quatro F1453,5.0 İnç,16 GB,1 GB,20puan,1830 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
239,Reeder P9,5.5 İnç,16 GB,2 GB,20puan,2550 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
240,Sunny SS4G1 Luna,5.0 İnç,16 GB,1 GB,20puan,4000 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
241,Samsung Galaxy J3 (2016) (Çift Hat / 4G) (SM-J320F/DS),5.0 İnç,8 GB,1.5 GB,20puan,2600 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
242,Sunny SS4G9 Mira,5.5 İnç,16 GB,2 GB,20puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
243,Sony Xperia T2 Ultra (D5303),6.0 İnç,8 GB,1 GB,20puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
244,Huawei Enjoy 5S,5.0 İnç,16 GB,2 GB,20puan,2200 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
245,Samsung Galaxy On7 (Tek Hat) (SM-G600F),5.5 İnç,8 GB,1.5 GB,20puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
246,Alcatel A3 XL (9008X),6.0 İnç,16 GB,2 GB,20puan,3000 mAh,Tek Hat,Yok,8 MP,Var,60 Hz,Android,,
247,Reeder P11SE,5.0 İnç,16 GB,3 GB,20puan,2200 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
248,Casper VIA E1,5.0 İnç,16 GB,2 GB,20puan,2500 mAh,Tek Hat,Yok,8 MP,Var,60 Hz,Android,Yok,
249,Casper VIA V10,4.8 İnç,16 GB,2 GB,20puan,2000 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
250,Casper VIA V6x,5.5 İnç,16 GB,2 GB,20puan,2850 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,,
251,Oxiron X4,5.0 İnç,16 GB,2 GB,20puan,2000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
252,Samsung Galaxy J2 Core 2020,5.0 İnç,16 GB,1 GB,20puan,2600 mAh,,Yok,8 MP,Yok,60 Hz,Android,Yok,
253,Sony Xperia T2 Ultra Dual (Çift Hat) (D5322),6.0 İnç,8 GB,1 GB,20puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
254,Samsung Galaxy S4 Mini (4G / Tek Hat) (GT-I9195),4.3 İnç,8 GB,1.5 GB,20puan,1900 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
255,Samsung Galaxy A2 Core (Çift Hat) (SM-A260F/DS),5.0 İnç,16 GB,1 GB,20puan,2600 mAh,Çift Hat,Yok,5 MP,Yok,60 Hz,Android,Yok,"3.099,00"
256,Samsung Galaxy A2 Core (SM-A260F),5.0 İnç,16 GB,1 GB,20puan,2600 mAh,Tek Hat,Yok,5 MP,Yok,60 Hz,Android,Yok,
257,Samsung Galaxy S4 Mini Plus (GT-I9195I),4.3 İnç,8 GB,1.5 GB,20puan,1900 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
258,Reeder P8,5.5 İnç,16 GB,2 GB,20puan,2300 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
259,Samsung Galaxy J3 (2016) (Çift Hat) (SM-J320H/DS),5.0 İnç,8 GB,1.5 GB,20puan,2600 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,"1.950,00"
260,LG band Play,5.0 İnç,16 GB,2 GB,20puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
261,Alcatel Shine Lite (5080X),5.0 İnç,16 GB,2 GB,20puan,2460 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
262,Samsung Galaxy Grand Max (SM-G720AX),5.25 İnç,16 GB,1.5 GB,20puan,2500 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
263,Alcatel One Touch Idol X (6040),5.0 İnç,8 GB,2 GB,20puan,2000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
264,BlackBerry Q10 (SQN100-3),3.1 İnç,16 GB,2 GB,20puan,2100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,BlackBerry OS,Var,
265,Xiaomi Redmi Go (8 GB),5.0 İnç,8 GB,1 GB,20puan,3000 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
266,Sony Xperia S (LT26i),4.3 İnç,32 GB,1 GB,20puan,1750 mAh,Tek Hat,Yok,12 MP,Yok,60 Hz,Android,Var,
267,LG G4 Stylus (H542),5.7 İnç,8 GB,1 GB,20puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
268,HTC One X (32 GB) (S720E),4.7 İnç,32 GB,1 GB,20puan,1800 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
269,Samsung Galaxy S3 Neo (Tek Hat) (GT-I9301),4.8 İnç,16 GB,1.5 GB,20puan,2100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,,
270,Lenovo A5000,5.0 İnç,8 GB,1 GB,20puan,4000 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
271,LG G4 Stylus (H540),5.7 İnç,8 GB,1 GB,20puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
272,Huawei Y5 2017,5.0 İnç,16 GB,2 GB,19puan,3000 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
273,Victor U2,5.5 İnç,16 GB,2 GB,19puan,3100 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
274,Huawei Honor 4X,5.5 İnç,8 GB,2 GB,19puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
275,LG AKA (H788TR),5.0 İnç,16 GB,1.5 GB,19puan,2540 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
276,Vodafone Smart Style 7,5.0 İnç,8 GB,1 GB,19puan,2540 mAh,Tek Hat,Var,8 MP,Yok,60 Hz,Android,Var,
277,HTC Desire 816G,5.5 İnç,8 GB,1 GB,19puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
278,Fly Tornado IQ4511,5.0 İnç,16 GB,2 GB,19puan,2000 mAh,,Yok,13 MP,Yok,60 Hz,Android,Yok,
279,Prestigio MultiPhone 7500 (1 GB / 16 GB) (PAP750016GB),5.0 İnç,16 GB,1 GB,19puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
280,Casper VIA V6,5.0 İnç,16 GB,2 GB,19puan,2400 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
281,Samsung Galaxy J2 (2016) (SM-J210F),5.0 İnç,8 GB,1.5 GB,19puan,2600 mAh,,Yok,8 MP,Yok,60 Hz,Android,Yok,
282,Vestel Venus V3 5020,5.0 İnç,16 GB,1 GB,19puan,3140 mAh,Tek Hat,Yok,8 MP,"Ekran Dayanıklılığı


Corning Gorilla Glass 3",60 Hz,Android,Yok,
283,Samsung Galaxy On7 (Çift Hat) (SM-G600FY),5.5 İnç,8 GB,1.5 GB,19puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
284,HTC Desire 530,5.0 İnç,16 GB,1.5 GB,19puan,2200 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
285,General Mobile Discovery Air (2 GB),4.8 İnç,16 GB,2 GB,19puan,2050 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
286,Apple iPhone 4s (64 GB) (A1387),3.5 İnç,64 GB,512 MB,19puan,1432 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,iOS,Yok,
287,Samsung Galaxy S3 Neo (Duos) (Çift Hat) (GT-I9300i),4.8 İnç,16 GB,1.5 GB,19puan,2100 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,,
288,Vestel Venus 5.5 X (VSP355s),5.5 İnç,16 GB,1 GB,19puan,2000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
289,Sony Xperia T3 (4G) (D5103),5.3 İnç,8 GB,1 GB,19puan,2500 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
290,Vestel Venus 5.5 V (VSP355g),5.5 İnç,16 GB,1 GB,19puan,2000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
291,Microsoft Lumia 640 LTE (4G / Tek Hat),5.0 İnç,8 GB,1 GB,19puan,2500 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Windows Phone,Var,
292,Reeder P10SE,5.0 İnç,16 GB,3 GB,19puan,2400 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
293,LG K20,5.45 İnç,16 GB,1 GB,19puan,3000 mAh,,Yok,8 MP,Yok,60 Hz,Android,Yok,
294,LG G4 Stylus (LGH635),5.7 İnç,8 GB,1 GB,19puan,3000 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
295,Alcatel A3,5.0 İnç,16 GB,1.5 GB,19puan,2460 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,,
296,BlackBerry Classic (Q20),3.46 İnç,16 GB,2 GB,19puan,2515 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,BlackBerry OS,Var,
297,LG Ray (X190),5.5 İnç,16 GB,1 GB,19puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
298,Sony Xperia T3 (D5102),5.3 İnç,8 GB,1 GB,19puan,2500 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
299,Reeder P10C,5.0 İnç,16 GB,1 GB,19puan,2400 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
300,Samsung Galaxy A3 (Tek Hat) (SM-A300H),4.5 İnç,16 GB,1 GB,19puan,1900 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
301,LG G3 Beat (4G) (LGD722),5.0 İnç,8 GB,1 GB,19puan,2540 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
302,LG X max (LGK240),5.5 İnç,16 GB,1.5 GB,19puan,2800 mAh,,Yok,13 MP,Yok,60 Hz,Android,,
303,Apple iPhone 5 (32 GB) (A1428),4.0 İnç,32 GB,1 GB,19puan,1440 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,iOS,Yok,
304,Quatro M1453 Gold Edition,5.0 İnç,16 GB,2 GB,19puan,2100 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
305,ZTE Blade X3,5.0 İnç,8 GB,1 GB,19puan,4000 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
306,Samsung Galaxy A3 Duos (Çift Hat) (SM-A300H/DS),4.5 İnç,16 GB,1 GB,19puan,1900 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
307,"Apple iPhone 5s (16 GB) (ME432TU/A, ME433TU/A, ME434TU/A)",4.0 İnç,16 GB,1 GB,19puan,1560 mAh,Tek Hat,Yok,8 MP,Var,60 Hz,iOS,Yok,"3.499,00"
308,Piranha IQ Smart (Gfive LTE 3),5.0 İnç,16 GB,2 GB,19puan,2300 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
309,Ultron X-1 (3G),5.0 İnç,16 GB,2 GB,19puan,2200 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
310,General Mobile Discovery Air (1 GB),4.8 İnç,16 GB,1 GB,19puan,2050 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
311,LG G3 Beat (D723),5.0 İnç,8 GB,1 GB,19puan,2540 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
312,Lenovo A7000,5.5 İnç,8 GB,2 GB,19puan,2900 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
313,Samsung Galaxy J2 Core (SM-J260F),5.0 İnç,8 GB,1 GB,19puan,2600 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,"4.307,00"
314,Samsung Galaxy J2 Core (Çift Hat),5.0 İnç,8 GB,1 GB,19puan,2600 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,"4.299,00"
315,Sony Xperia C3 (Tek Hat) (D2533),5.5 İnç,8 GB,1 GB,19puan,2500 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
316,Apple iPhone 5c (32 GB) (A1532),4.0 İnç,32 GB,1 GB,19puan,1510 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,iOS,Yok,
317,Sunny SS4G7 Sole,5.0 İnç,16 GB,2 GB,19puan,2000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
318,Samsung Galaxy S4 Mini (Tek Hat) (GT-I9190),4.3 İnç,8 GB,1.5 GB,19puan,1900 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
319,Motorola Moto G (2014),5.0 İnç,16 GB,1 GB,19puan,2070 mAh,,Yok,8 MP,Yok,60 Hz,Android,Yok,
320,Vestel Venus E3,5.0 İnç,16 GB,2 GB,19puan,2500 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,"3.453,17"
321,Sunny SS70,5.0 İnç,16 GB,2 GB,19puan,2100 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
322,Alcatel OneTouch Pop Up,5.0 İnç,16 GB,2 GB,18puan,2000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
323,Sony Xperia C3 Dual (Çift Hat) (D2502),5.5 İnç,8 GB,1 GB,18puan,2500 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
324,Lenovo A6000 Plus (2 GB / 16 GB),5.0 İnç,16 GB,2 GB,18puan,2300 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
325,Nokia Lumia 1320 (RM-994),6.0 İnç,8 GB,1 GB,18puan,3400 mAh,Tek Hat,Yok,5 MP,Yok,60 Hz,Windows Phone,Yok,
326,LG K9 (LMX210),5.0 İnç,16 GB,2 GB,18puan,2500 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
327,Asus Zenfone Go (ZC500TG),5.0 İnç,16 GB,2 GB,18puan,2070 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
